groups,variables,values
Panic Disorder,Panic Disorder,0
Panic Disorder,Agoraphobia,0
Panic Disorder,Social Anxiety D.,56.5
Panic Disorder,Specific Phobia,44.25
Panic Disorder,Generalised Anxiety D.,62.31
Panic Disorder,Obsessive-Compulsive-D.,25.51
Panic Disorder,Post Traumatic Stress D.,31.39
Panic Disorder,Major Depressive Episode,61.16
Panic Disorder,Anorexia Nervosa,0.54
Panic Disorder,Bulimia Nervosa,7.71
Panic Disorder,Binge Eating D.,4.74
Panic Disorder,Cannabis Dep.,6.02
Panic Disorder,Stimulants Dep.,4.06
Panic Disorder,Opioids Dep.,2.3
Panic Disorder,Sedatives Dep.,12.65
Panic Disorder,Alcohol Dependence,15.56
Panic Disorder,Somatisation D.,1.22
Panic Disorder,Body Dysmorphic D.,8.19
Panic Disorder,Pathological Gambling,4.19
Panic Disorder,Insomnia,56.77
Panic Disorder,Hypersomnia,10.55
Agoraphobia,Panic Disorder,0
Agoraphobia,Agoraphobia,0
Agoraphobia,Social Anxiety D.,65.11
Agoraphobia,Specific Phobia,31.58
Agoraphobia,Generalised Anxiety D.,58.87
Agoraphobia,Obsessive-Compulsive-D.,19.88
Agoraphobia,Post Traumatic Stress D.,21.44
Agoraphobia,Major Depressive Episode,55.56
Agoraphobia,Anorexia Nervosa,0.19
Agoraphobia,Bulimia Nervosa,5.07
Agoraphobia,Binge Eating D.,5.85
Agoraphobia,Cannabis Dep.,7.02
Agoraphobia,Stimulants Dep.,2.92
Agoraphobia,Opioids Dep.,1.17
Agoraphobia,Sedatives Dep.,7.02
Agoraphobia,Alcohol Dependence,16.96
Agoraphobia,Somatisation D.,0.19
Agoraphobia,Body Dysmorphic D.,9.16
Agoraphobia,Pathological Gambling,4.68
Agoraphobia,Insomnia,48.54
Agoraphobia,Hypersomnia,10.14
Social Anxiety D.,Panic Disorder,28.25
Social Anxiety D.,Agoraphobia,28.1
Social Anxiety D.,Social Anxiety D.,0
Social Anxiety D.,Specific Phobia,31.84
Social Anxiety D.,Generalised Anxiety D.,59.34
Social Anxiety D.,Obsessive-Compulsive-D.,18.46
Social Anxiety D.,Post Traumatic Stress D.,23.32
Social Anxiety D.,Major Depressive Episode,53.06
Social Anxiety D.,Anorexia Nervosa,0.45
Social Anxiety D.,Bulimia Nervosa,6.2
Social Anxiety D.,Binge Eating D.,5.98
Social Anxiety D.,Cannabis Dep.,7.17
Social Anxiety D.,Stimulants Dep.,3.21
Social Anxiety D.,Opioids Dep.,1.64
Social Anxiety D.,Sedatives Dep.,6.73
Social Anxiety D.,Alcohol Dependence,17.34
Social Anxiety D.,Somatisation D.,1.05
Social Anxiety D.,Body Dysmorphic D.,10.61
Social Anxiety D.,Pathological Gambling,2.84
Social Anxiety D.,Insomnia,47.38
Social Anxiety D.,Hypersomnia,10.61
Specific Phobia,Panic Disorder,40.96
Specific Phobia,Agoraphobia,17.38
Specific Phobia,Social Anxiety D.,43.44
Specific Phobia,Specific Phobia,0
Specific Phobia,Generalised Anxiety D.,57.98
Specific Phobia,Obsessive-Compulsive-D.,27.84
Specific Phobia,Post Traumatic Stress D.,30.32
Specific Phobia,Major Depressive Episode,49.82
Specific Phobia,Anorexia Nervosa,0.35
Specific Phobia,Bulimia Nervosa,5.32
Specific Phobia,Binge Eating D.,5.5
Specific Phobia,Cannabis Dep.,3.9
Specific Phobia,Stimulants Dep.,2.13
Specific Phobia,Opioids Dep.,2.13
Specific Phobia,Sedatives Dep.,9.04
Specific Phobia,Alcohol Dependence,17.2
Specific Phobia,Somatisation D.,1.6
Specific Phobia,Body Dysmorphic D.,9.04
Specific Phobia,Pathological Gambling,2.84
Specific Phobia,Insomnia,46.81
Specific Phobia,Hypersomnia,9.75
Generalised Anxiety D.,Panic Disorder,29.28
Generalised Anxiety D.,Agoraphobia,15.9
Generalised Anxiety D.,Social Anxiety D.,52.19
Generalised Anxiety D.,Specific Phobia,32.54
Generalised Anxiety D.,Generalised Anxiety D.,0
Generalised Anxiety D.,Obsessive-Compulsive-D.,8.95
Generalised Anxiety D.,Post Traumatic Stress D.,27.33
Generalised Anxiety D.,Major Depressive Episode,66.83
Generalised Anxiety D.,Anorexia Nervosa,0.44
Generalised Anxiety D.,Bulimia Nervosa,7.78
Generalised Anxiety D.,Binge Eating D.,6.86
Generalised Anxiety D.,Cannabis Dep.,5.93
Generalised Anxiety D.,Stimulants Dep.,2.72
Generalised Anxiety D.,Opioids Dep.,1.41
Generalised Anxiety D.,Sedatives Dep.,8.61
Generalised Anxiety D.,Alcohol Dependence,17.41
Generalised Anxiety D.,Somatisation D.,0.73
Generalised Anxiety D.,Body Dysmorphic D.,10.41
Generalised Anxiety D.,Pathological Gambling,2.77
Generalised Anxiety D.,Insomnia,60.12
Generalised Anxiety D.,Hypersomnia,11.19
Obsessive-Compulsive-D.,Panic Disorder,28.51
Obsessive-Compulsive-D.,Agoraphobia,13.82
Obsessive-Compulsive-D.,Social Anxiety D.,39.52
Obsessive-Compulsive-D.,Specific Phobia,41.04
Obsessive-Compulsive-D.,Generalised Anxiety D.,57.02
Obsessive-Compulsive-D.,Obsessive-Compulsive-D.,0
Obsessive-Compulsive-D.,Post Traumatic Stress D.,20.73
Obsessive-Compulsive-D.,Major Depressive Episode,53.78
Obsessive-Compulsive-D.,Anorexia Nervosa,0.43
Obsessive-Compulsive-D.,Bulimia Nervosa,7.78
Obsessive-Compulsive-D.,Binge Eating D.,3.67
Obsessive-Compulsive-D.,Cannabis Dep.,5.62
Obsessive-Compulsive-D.,Stimulants Dep.,2.81
Obsessive-Compulsive-D.,Opioids Dep.,0.65
Obsessive-Compulsive-D.,Sedatives Dep.,6.7
Obsessive-Compulsive-D.,Alcohol Dependence,12.53
Obsessive-Compulsive-D.,Somatisation D.,0.65
Obsessive-Compulsive-D.,Body Dysmorphic D.,11.45
Obsessive-Compulsive-D.,Pathological Gambling,2.59
Obsessive-Compulsive-D.,Insomnia,41.25
Obsessive-Compulsive-D.,Hypersomnia,9.72
Post Traumatic Stress D.,Panic Disorder,37.5
Post Traumatic Stress D.,Agoraphobia,14.48
Post Traumatic Stress D.,Social Anxiety D.,49.4
Post Traumatic Stress D.,Specific Phobia,42.66
Post Traumatic Stress D.,Generalised Anxiety D.,58.93
Post Traumatic Stress D.,Obsessive-Compulsive-D.,34.92
Post Traumatic Stress D.,Post Traumatic Stress D.,0
Post Traumatic Stress D.,Major Depressive Episode,68.45
Post Traumatic Stress D.,Anorexia Nervosa,0.79
Post Traumatic Stress D.,Bulimia Nervosa,10.32
Post Traumatic Stress D.,Binge Eating D.,6.75
Post Traumatic Stress D.,Cannabis Dep.,8.93
Post Traumatic Stress D.,Stimulants Dep.,3.97
Post Traumatic Stress D.,Opioids Dep.,4.56
Post Traumatic Stress D.,Sedatives Dep.,12.5
Post Traumatic Stress D.,Alcohol Dependence,16.07
Post Traumatic Stress D.,Somatisation D.,4.56
Post Traumatic Stress D.,Body Dysmorphic D.,10.12
Post Traumatic Stress D.,Pathological Gambling,4.76
Post Traumatic Stress D.,Insomnia,62.3
Post Traumatic Stress D.,Hypersomnia,10.71
Major Depressive Episode,Panic Disorder,26.88
Major Depressive Episode,Agoraphobia,17.93
Major Depressive Episode,Social Anxiety D.,50.43
Major Depressive Episode,Specific Phobia,30.31
Major Depressive Episode,Generalised Anxiety D.,59.61
Major Depressive Episode,Obsessive-Compulsive-D.,26.8
Major Depressive Episode,Post Traumatic Stress D.,33.33
Major Depressive Episode,Major Depressive Episode,0
Major Depressive Episode,Anorexia Nervosa,0.68
Major Depressive Episode,Bulimia Nervosa,11.33
Major Depressive Episode,Binge Eating D.,7.21
Major Depressive Episode,Cannabis Dep.,7.63
Major Depressive Episode,Stimulants Dep.,4.3
Major Depressive Episode,Opioids Dep.,2.68
Major Depressive Episode,Sedatives Dep.,9.51
Major Depressive Episode,Alcohol Dependence,21.1
Major Depressive Episode,Somatisation D.,1.13
Major Depressive Episode,Body Dysmorphic D.,13.93
Major Depressive Episode,Pathological Gambling,4.15
Major Depressive Episode,Insomnia,65.5
Major Depressive Episode,Hypersomnia,19.29
Anorexia Nervosa,Panic Disorder,21.43
Anorexia Nervosa,Agoraphobia,14.29
Anorexia Nervosa,Social Anxiety D.,57.14
Anorexia Nervosa,Specific Phobia,28.57
Anorexia Nervosa,Generalised Anxiety D.,64.29
Anorexia Nervosa,Obsessive-Compulsive-D.,42.86
Anorexia Nervosa,Post Traumatic Stress D.,21.43
Anorexia Nervosa,Major Depressive Episode,71.43
Anorexia Nervosa,Anorexia Nervosa,0
Anorexia Nervosa,Bulimia Nervosa,50
Anorexia Nervosa,Binge Eating D.,0
Anorexia Nervosa,Cannabis Dep.,0
Anorexia Nervosa,Stimulants Dep.,0
Anorexia Nervosa,Opioids Dep.,0
Anorexia Nervosa,Sedatives Dep.,0
Anorexia Nervosa,Alcohol Dependence,14.29
Anorexia Nervosa,Somatisation D.,7.14
Anorexia Nervosa,Body Dysmorphic D.,14.29
Anorexia Nervosa,Pathological Gambling,7.14
Anorexia Nervosa,Insomnia,64.29
Anorexia Nervosa,Hypersomnia,0
Bulimia Nervosa,Panic Disorder,25.94
Bulimia Nervosa,Agoraphobia,14.06
Bulimia Nervosa,Social Anxiety D.,49.9
Bulimia Nervosa,Specific Phobia,26.93
Bulimia Nervosa,Generalised Anxiety D.,52.08
Bulimia Nervosa,Obsessive-Compulsive-D.,36.24
Bulimia Nervosa,Post Traumatic Stress D.,33.07
Bulimia Nervosa,Major Depressive Episode,71.68
Bulimia Nervosa,Anorexia Nervosa,2.77
Bulimia Nervosa,Bulimia Nervosa,0
Bulimia Nervosa,Binge Eating D.,0
Bulimia Nervosa,Cannabis Dep.,7.92
Bulimia Nervosa,Stimulants Dep.,8.12
Bulimia Nervosa,Opioids Dep.,5.35
Bulimia Nervosa,Sedatives Dep.,10.69
Bulimia Nervosa,Alcohol Dependence,21.98
Bulimia Nervosa,Somatisation D.,2.57
Bulimia Nervosa,Body Dysmorphic D.,49.9
Bulimia Nervosa,Pathological Gambling,2.57
Bulimia Nervosa,Insomnia,59.41
Bulimia Nervosa,Hypersomnia,12.08
Binge Eating D.,Panic Disorder,22.03
Binge Eating D.,Agoraphobia,16.1
Binge Eating D.,Social Anxiety D.,52.54
Binge Eating D.,Specific Phobia,29.66
Binge Eating D.,Generalised Anxiety D.,60.17
Binge Eating D.,Obsessive-Compulsive-D.,22.88
Binge Eating D.,Post Traumatic Stress D.,40.68
Binge Eating D.,Major Depressive Episode,66.95
Binge Eating D.,Anorexia Nervosa,0
Binge Eating D.,Bulimia Nervosa,0
Binge Eating D.,Binge Eating D.,0
Binge Eating D.,Cannabis Dep.,4.24
Binge Eating D.,Stimulants Dep.,0.85
Binge Eating D.,Opioids Dep.,1.69
Binge Eating D.,Sedatives Dep.,8.47
Binge Eating D.,Alcohol Dependence,12.71
Binge Eating D.,Somatisation D.,0
Binge Eating D.,Body Dysmorphic D.,19.49
Binge Eating D.,Pathological Gambling,2.54
Binge Eating D.,Insomnia,47.46
Binge Eating D.,Hypersomnia,13.56
Cannabis Dep.,Panic Disorder,33.93
Cannabis Dep.,Agoraphobia,10.71
Cannabis Dep.,Social Anxiety D.,46.43
Cannabis Dep.,Specific Phobia,30.36
Cannabis Dep.,Generalised Anxiety D.,58.93
Cannabis Dep.,Obsessive-Compulsive-D.,26.79
Cannabis Dep.,Post Traumatic Stress D.,39.29
Cannabis Dep.,Major Depressive Episode,69.64
Cannabis Dep.,Anorexia Nervosa,0
Cannabis Dep.,Bulimia Nervosa,17.86
Cannabis Dep.,Binge Eating D.,16.07
Cannabis Dep.,Cannabis Dep.,0
Cannabis Dep.,Stimulants Dep.,26.79
Cannabis Dep.,Opioids Dep.,7.14
Cannabis Dep.,Sedatives Dep.,23.21
Cannabis Dep.,Alcohol Dependence,37.5
Cannabis Dep.,Somatisation D.,3.57
Cannabis Dep.,Body Dysmorphic D.,17.86
Cannabis Dep.,Pathological Gambling,8.93
Cannabis Dep.,Insomnia,48.21
Cannabis Dep.,Hypersomnia,14.29
Stimulants Dep.,Panic Disorder,40
Stimulants Dep.,Agoraphobia,10
Stimulants Dep.,Social Anxiety D.,60
Stimulants Dep.,Specific Phobia,0
Stimulants Dep.,Generalised Anxiety D.,50
Stimulants Dep.,Obsessive-Compulsive-D.,40
Stimulants Dep.,Post Traumatic Stress D.,60
Stimulants Dep.,Major Depressive Episode,60
Stimulants Dep.,Anorexia Nervosa,10
Stimulants Dep.,Bulimia Nervosa,20
Stimulants Dep.,Binge Eating D.,20
Stimulants Dep.,Cannabis Dep.,40
